"['atom A', 'A no.', 'B no.', 'Distance (A)']"
"['Bi', 69, 'Bi', 69, 0.0]"
"['Bi', 69, 'Bi', 80, 3.745]"
"['Bi', 69, 'Ti', 148, 2.904]"
"['Bi', 69, 'Ti', 149, 3.62]"
"['Bi', 69, 'O', 262, 2.356]"
"['Bi', 69, 'O', 317, 4.451]"
"['Bi', 69, 'O', 318, 2.225]"
"['Bi', 69, 'O', 319, 4.547]"
"['Bi', 69, 'O', 320, 2.306]"
"['Bi', 69, 'O', 322, 4.488]"
"['Bi', 69, 'O', 323, 4.674]"
"['Bi', 69, 'O', 393, 4.529]"
"['Bi', 69, 'O', 396, 4.841]"
"['Bi', 70, 'Pb', 10, 4.84]"
"['Bi', 70, 'Na', 23, 3.75]"
"['Bi', 70, 'Bi', 70, 0.0]"
"['Bi', 70, 'Bi', 119, 3.596]"
"['Bi', 70, 'Ti', 249, 2.905]"
"['Bi', 70, 'Ti', 250, 3.304]"
"['Bi', 70, 'O', 321, 2.326]"
"['Bi', 70, 'O', 324, 2.448]"
"['Bi', 70, 'O', 611, 4.582]"
"['Bi', 70, 'O', 620, 4.366]"
"['Bi', 70, 'O', 621, 4.382]"
"['Bi', 70, 'O', 622, 4.346]"
"['Bi', 70, 'O', 623, 2.301]"
"['Bi', 70, 'O', 624, 4.492]"
"['Bi', 70, 'O', 625, 4.366]"
"['Bi', 71, 'Na', 14, 3.681]"
"['Bi', 71, 'Na', 15, 4.118]"
"['Bi', 71, 'Bi', 71, 0.0]"
"['Bi', 71, 'Bi', 120, 3.638]"
"['Bi', 71, 'Ti', 226, 3.347]"
"['Bi', 71, 'Ti', 231, 3.793]"
"['Bi', 71, 'O', 252, 2.421]"
"['Bi', 71, 'O', 267, 3.052]"
"['Bi', 71, 'O', 552, 4.577]"
"['Bi', 71, 'O', 553, 4.688]"
"['Bi', 71, 'O', 554, 4.53]"
"['Bi', 71, 'O', 566, 2.695]"
"['Bi', 71, 'O', 568, 3.084]"
"['Bi', 71, 'O', 569, 4.655]"
"['Bi', 71, 'O', 583, 4.386]"
"['Bi', 72, 'Na', 14, 3.875]"
"['Bi', 72, 'Na', 16, 3.802]"
"['Bi', 72, 'Bi', 72, 0.0]"
"['Bi', 72, 'Bi', 73, 4.091]"
"['Bi', 72, 'Bi', 122, 3.651]"
"['Bi', 72, 'Ti', 227, 3.215]"
"['Bi', 72, 'Ti', 228, 3.501]"
"['Bi', 72, 'Ti', 232, 3.255]"
"['Bi', 72, 'Ti', 233, 3.448]"
"['Bi', 72, 'O', 255, 2.223]"
"['Bi', 72, 'O', 258, 2.719]"
"['Bi', 72, 'O', 270, 2.347]"
"['Bi', 72, 'O', 273, 2.993]"
"['Bi', 72, 'O', 554, 4.252]"
"['Bi', 72, 'O', 555, 4.56]"
"['Bi', 72, 'O', 556, 4.303]"
"['Bi', 72, 'O', 557, 2.406]"
"['Bi', 72, 'O', 560, 4.425]"
"['Bi', 72, 'O', 569, 4.229]"
"['Bi', 72, 'O', 570, 4.323]"
"['Bi', 72, 'O', 571, 2.574]"
"['Bi', 72, 'O', 572, 2.447]"
"['Bi', 72, 'O', 573, 4.936]"
"['Bi', 72, 'O', 574, 2.96]"
"['Bi', 72, 'O', 575, 4.569]"
"['Bi', 72, 'O', 586, 4.722]"
"['Bi', 72, 'O', 589, 4.888]"
"['Bi', 73, 'Na', 17, 4.189]"
"['Bi', 73, 'Bi', 72, 4.091]"
"['Bi', 73, 'Bi', 73, 0.0]"
"['Bi', 73, 'Bi', 123, 3.904]"
"['Bi', 73, 'Ti', 228, 3.625]"
"['Bi', 73, 'Ti', 229, 3.213]"
"['Bi', 73, 'Ti', 233, 3.634]"
"['Bi', 73, 'Ti', 234, 3.562]"
"['Bi', 73, 'O', 258, 2.836]"
"['Bi', 73, 'O', 261, 3.131]"
"['Bi', 73, 'O', 273, 2.546]"
"['Bi', 73, 'O', 276, 3.188]"
"['Bi', 73, 'O', 557, 4.333]"
"['Bi', 73, 'O', 558, 4.584]"
"['Bi', 73, 'O', 560, 2.043]"
"['Bi', 73, 'O', 561, 4.462]"
"['Bi', 73, 'O', 562, 4.603]"
"['Bi', 73, 'O', 563, 4.635]"
"['Bi', 73, 'O', 572, 4.626]"
"['Bi', 73, 'O', 573, 4.926]"
"['Bi', 73, 'O', 574, 2.344]"
"['Bi', 73, 'O', 575, 2.43]"
"['Bi', 73, 'O', 576, 4.937]"
"['Bi', 73, 'O', 577, 2.429]"
"['Bi', 73, 'O', 578, 4.921]"
"['Bi', 73, 'O', 589, 4.945]"
"['Bi', 73, 'O', 592, 4.631]"
"['Bi', 74, 'Bi', 74, 0.0]"
"['Bi', 74, 'Bi', 76, 4.289]"
"['Bi', 74, 'Bi', 84, 4.075]"
"['Bi', 74, 'Ti', 129, 3.524]"
"['Bi', 74, 'Ti', 130, 3.524]"
"['Bi', 74, 'Ti', 134, 3.35]"
"['Bi', 74, 'Ti', 135, 3.719]"
"['Bi', 74, 'O', 263, 2.367]"
"['Bi', 74, 'O', 275, 4.468]"
"['Bi', 74, 'O', 277, 2.427]"
"['Bi', 74, 'O', 278, 3.197]"
"['Bi', 74, 'O', 279, 3.192]"
"['Bi', 74, 'O', 280, 2.884]"
"['Bi', 74, 'O', 292, 4.614]"
"['Bi', 74, 'O', 336, 4.367]"
"['Bi', 74, 'O', 339, 4.381]"
"['Bi', 74, 'O', 351, 4.826]"
"['Bi', 74, 'O', 354, 4.866]"
"['Bi', 75, 'Na', 14, 3.93]"
"['Bi', 75, 'Na', 15, 3.531]"
"['Bi', 75, 'Na', 16, 3.928]"
"['Bi', 75, 'Na', 18, 4.245]"
"['Bi', 75, 'Na', 60, 3.712]"
"['Bi', 75, 'Bi', 75, 0.0]"
"['Bi', 75, 'Ti', 231, 3.365]"
"['Bi', 75, 'Ti', 232, 3.351]"
"['Bi', 75, 'Ti', 236, 3.271]"
"['Bi', 75, 'Ti', 237, 3.583]"
"['Bi', 75, 'O', 267, 2.468]"
"['Bi', 75, 'O', 270, 3.197]"
"['Bi', 75, 'O', 285, 3.191]"
"['Bi', 75, 'O', 566, 4.703]"
"['Bi', 75, 'O', 567, 4.726]"
"['Bi', 75, 'O', 568, 4.663]"
"['Bi', 75, 'O', 569, 3.181]"
"['Bi', 75, 'O', 571, 4.562]"
"['Bi', 75, 'O', 582, 4.678]"
"['Bi', 75, 'O', 583, 2.543]"
"['Bi', 75, 'O', 584, 2.762]"
"['Bi', 75, 'O', 585, 4.819]"
"['Bi', 75, 'O', 586, 3.191]"
"['Bi', 75, 'O', 598, 4.725]"
"['Bi', 76, 'Na', 32, 4.994]"
"['Bi', 76, 'Bi', 74, 4.289]"
"['Bi', 76, 'Bi', 76, 0.0]"
"['Bi', 76, 'Bi', 88, 4.055]"
"['Bi', 76, 'Ti', 134, 3.559]"
"['Bi', 76, 'Ti', 135, 3.792]"
"['Bi', 76, 'Ti', 139, 3.291]"
"['Bi', 76, 'Ti', 140, 3.378]"
"['Bi', 76, 'O', 275, 4.767]"
"['Bi', 76, 'O', 277, 4.989]"
"['Bi', 76, 'O', 278, 3.192]"
"['Bi', 76, 'O', 279, 2.69]"
"['Bi', 76, 'O', 290, 4.435]"
"['Bi', 76, 'O', 292, 2.699]"
"['Bi', 76, 'O', 293, 2.25]"
"['Bi', 76, 'O', 295, 3.192]"
"['Bi', 76, 'O', 307, 4.322]"
"['Bi', 76, 'O', 310, 4.487]"
"['Bi', 76, 'O', 354, 4.916]"
"['Bi', 76, 'O', 366, 4.513]"
"['Bi', 76, 'O', 369, 4.799]"
"['Bi', 77, 'Na', 20, 3.732]"
"['Bi', 77, 'Na', 23, 4.967]"
"['Bi', 77, 'Bi', 77, 0.0]"
"['Bi', 77, 'Ti', 240, 3.266]"
"['Bi', 77, 'Ti', 245, 3.272]"
"['Bi', 77, 'O', 294, 2.94]"
"['Bi', 77, 'O', 581, 2.715]"
"['Bi', 77, 'O', 593, 4.366]"
"['Bi', 77, 'O', 595, 4.649]"
"['Bi', 77, 'O', 596, 3.032]"
"['Bi', 77, 'O', 608, 4.603]"
"['Bi', 77, 'O', 609, 4.995]"
"['Bi', 77, 'O', 610, 2.88]"
"['Bi', 77, 'O', 625, 4.765]"
"['Bi', 78, 'Na', 17, 4.061]"
"['Bi', 78, 'Na', 20, 3.807]"
"['Bi', 78, 'Na', 65, 4.143]"
"['Bi', 78, 'Bi', 78, 0.0]"
"['Bi', 78, 'Ti', 238, 3.643]"
"['Bi', 78, 'Ti', 239, 3.574]"
"['Bi', 78, 'Ti', 243, 3.466]"
"['Bi', 78, 'Ti', 244, 3.503]"
"['Bi', 78, 'O', 288, 3.165]"
"['Bi', 78, 'O', 291, 3.175]"
"['Bi', 78, 'O', 303, 2.497]"
"['Bi', 78, 'O', 306, 2.664]"
"['Bi', 78, 'O', 587, 4.968]"
"['Bi', 78, 'O', 590, 3.151]"
"['Bi', 78, 'O', 593, 4.686]"
"['Bi', 78, 'O', 602, 4.979]"
"['Bi', 78, 'O', 604, 2.548]"
"['Bi', 78, 'O', 605, 3.108]"
"['Bi', 78, 'O', 606, 4.928]"
"['Bi', 78, 'O', 607, 3.149]"
"['Bi', 78, 'O', 608, 4.396]"
"['Bi', 78, 'O', 619, 4.501]"
"['Bi', 78, 'O', 622, 4.678]"
"['Bi', 79, 'Na', 19, 4.269]"
"['Bi', 79, 'Na', 34, 4.166]"
"['Bi', 79, 'Na', 35, 4.991]"
"['Bi', 79, 'Bi', 79, 0.0]"
