"['atom A', 'A no.', 'B no.', 'Distance (A)']"
"['Ti', 126, 'O', 251, 2.19]"
"['Ti', 126, 'O', 253, 1.728]"
"['Ti', 126, 'O', 254, 1.927]"
"['Ti', 126, 'O', 268, 2.175]"
"['Ti', 126, 'O', 327, 2.183]"
"['Ti', 127, 'O', 254, 1.767]"
"['Ti', 127, 'O', 256, 1.808]"
"['Ti', 127, 'O', 257, 2.111]"
"['Ti', 127, 'O', 271, 2.06]"
"['Ti', 127, 'O', 330, 2.2]"
"['Ti', 128, 'O', 257, 1.658]"
"['Ti', 128, 'O', 259, 2.114]"
"['Ti', 128, 'O', 260, 2.183]"
"['Ti', 128, 'O', 274, 1.812]"
"['Ti', 128, 'O', 333, 2.171]"
"['Ti', 129, 'O', 260, 2.096]"
"['Ti', 129, 'O', 263, 1.976]"
"['Ti', 129, 'O', 277, 2.199]"
"['Ti', 129, 'O', 336, 1.695]"
"['Ti', 130, 'O', 263, 2.2]"
"['Ti', 130, 'O', 280, 2.198]"
"['Ti', 130, 'O', 339, 1.882]"
"['Ti', 131, 'O', 266, 2.176]"
"['Ti', 131, 'O', 268, 1.865]"
"['Ti', 131, 'O', 269, 2.104]"
"['Ti', 131, 'O', 283, 1.949]"
"['Ti', 131, 'O', 342, 2.178]"
"['Ti', 132, 'O', 269, 1.837]"
"['Ti', 132, 'O', 271, 1.923]"
"['Ti', 132, 'O', 272, 1.968]"
"['Ti', 132, 'O', 286, 1.872]"
"['Ti', 132, 'O', 345, 2.182]"
"['Ti', 133, 'O', 272, 1.847]"
"['Ti', 133, 'O', 274, 1.85]"
"['Ti', 133, 'O', 275, 2.184]"
"['Ti', 133, 'O', 289, 1.893]"
"['Ti', 133, 'O', 348, 2.186]"
"['Ti', 134, 'O', 275, 1.74]"
"['Ti', 134, 'O', 277, 2.094]"
"['Ti', 134, 'O', 278, 2.006]"
"['Ti', 134, 'O', 292, 1.801]"
"['Ti', 134, 'O', 351, 2.2]"
"['Ti', 135, 'O', 278, 2.066]"
"['Ti', 135, 'O', 279, 2.195]"
"['Ti', 135, 'O', 280, 2.102]"
"['Ti', 135, 'O', 295, 2.174]"
"['Ti', 135, 'O', 354, 1.878]"
"['Ti', 136, 'O', 281, 2.177]"
"['Ti', 136, 'O', 282, 1.918]"
"['Ti', 136, 'O', 283, 2.198]"
"['Ti', 136, 'O', 284, 2.017]"
"['Ti', 136, 'O', 298, 1.689]"
"['Ti', 136, 'O', 357, 2.153]"
"['Ti', 137, 'O', 284, 1.929]"
"['Ti', 137, 'O', 286, 2.105]"
"['Ti', 137, 'O', 287, 1.986]"
"['Ti', 137, 'O', 301, 2.196]"
"['Ti', 137, 'O', 360, 2.195]"
"['Ti', 138, 'O', 287, 1.846]"
"['Ti', 138, 'O', 289, 2.075]"
"['Ti', 138, 'O', 290, 2.024]"
"['Ti', 138, 'O', 304, 2.048]"
"['Ti', 138, 'O', 363, 2.139]"
"['Ti', 139, 'O', 290, 1.957]"
"['Ti', 139, 'O', 292, 2.189]"
"['Ti', 139, 'O', 293, 2.194]"
"['Ti', 139, 'O', 307, 1.852]"
"['Ti', 139, 'O', 366, 1.834]"
"['Ti', 140, 'O', 293, 1.911]"
"['Ti', 140, 'O', 295, 1.88]"
"['Ti', 140, 'O', 310, 1.754]"
"['Ti', 140, 'O', 369, 1.999]"
"['Ti', 141, 'O', 296, 1.723]"
"['Ti', 141, 'O', 298, 2.147]"
"['Ti', 141, 'O', 299, 2.178]"
"['Ti', 141, 'O', 313, 1.882]"
"['Ti', 141, 'O', 372, 2.19]"
"['Ti', 142, 'O', 299, 2.131]"
"['Ti', 142, 'O', 301, 2.148]"
"['Ti', 142, 'O', 302, 1.727]"
"['Ti', 142, 'O', 316, 1.914]"
"['Ti', 142, 'O', 375, 2.052]"
"['Ti', 143, 'O', 302, 2.197]"
"['Ti', 143, 'O', 304, 2.198]"
"['Ti', 143, 'O', 305, 2.033]"
"['Ti', 143, 'O', 319, 1.976]"
"['Ti', 143, 'O', 378, 1.848]"
"['Ti', 144, 'O', 305, 2.193]"
"['Ti', 144, 'O', 307, 2.123]"
"['Ti', 144, 'O', 308, 1.652]"
"['Ti', 144, 'O', 322, 2.197]"
"['Ti', 144, 'O', 381, 1.99]"
"['Ti', 145, 'O', 308, 2.075]"
"['Ti', 145, 'O', 309, 2.005]"
"['Ti', 145, 'O', 310, 2.199]"
"['Ti', 145, 'O', 325, 1.667]"
"['Ti', 145, 'O', 384, 2.186]"
"['Ti', 146, 'O', 311, 1.904]"
"['Ti', 146, 'O', 313, 2.199]"
"['Ti', 146, 'O', 314, 2.184]"
"['Ti', 146, 'O', 387, 2.192]"
"['Ti', 147, 'O', 314, 1.791]"
"['Ti', 147, 'O', 316, 2.074]"
"['Ti', 147, 'O', 317, 2.192]"
"['Ti', 147, 'O', 390, 2.159]"
"['Ti', 148, 'O', 317, 2.178]"
"['Ti', 148, 'O', 318, 1.927]"
"['Ti', 148, 'O', 319, 2.199]"
"['Ti', 148, 'O', 320, 1.773]"
"['Ti', 148, 'O', 393, 1.839]"
"['Ti', 149, 'O', 262, 2.177]"
"['Ti', 149, 'O', 320, 2.195]"
"['Ti', 149, 'O', 322, 1.979]"
"['Ti', 149, 'O', 323, 1.7]"
"['Ti', 149, 'O', 396, 1.914]"
"['Ti', 150, 'O', 265, 2.2]"
"['Ti', 150, 'O', 323, 2.152]"
"['Ti', 150, 'O', 325, 1.89]"
"['Ti', 150, 'O', 399, 2.198]"
"['Ti', 151, 'O', 327, 1.726]"
"['Ti', 151, 'O', 328, 1.799]"
"['Ti', 151, 'O', 329, 2.195]"
"['Ti', 151, 'O', 343, 1.956]"
"['Ti', 151, 'O', 402, 2.183]"
"['Ti', 152, 'O', 329, 2.176]"
"['Ti', 152, 'O', 330, 1.748]"
"['Ti', 152, 'O', 331, 1.933]"
"['Ti', 152, 'O', 332, 1.832]"
"['Ti', 152, 'O', 346, 2.064]"
"['Ti', 152, 'O', 405, 2.198]"
"['Ti', 153, 'O', 332, 1.891]"
"['Ti', 153, 'O', 333, 1.815]"
"['Ti', 153, 'O', 335, 2.17]"
"['Ti', 153, 'O', 349, 2.199]"
"['Ti', 153, 'O', 408, 2.06]"
"['Ti', 154, 'O', 335, 1.852]"
"['Ti', 154, 'O', 336, 2.128]"
"['Ti', 154, 'O', 337, 1.951]"
"['Ti', 154, 'O', 338, 1.723]"
"['Ti', 154, 'O', 352, 2.188]"
