"['atom A', 'A no.', 'B no.', 'Distance (A)']"
"['Ti', 126, 'O', 620, 1.617]"
"['Ti', 126, 'O', 623, 1.602]"
"['Ti', 127, 'O', 554, 2.123]"
"['Ti', 127, 'O', 557, 1.601]"
"['Ti', 128, 'O', 374, 1.602]"
"['Ti', 128, 'O', 377, 2.329]"
"['Ti', 129, 'O', 416, 1.891]"
"['Ti', 129, 'O', 419, 2.689]"
"['Ti', 130, 'O', 476, 1.602]"
"['Ti', 130, 'O', 479, 2.278]"
"['Ti', 131, 'O', 260, 1.978]"
"['Ti', 131, 'O', 263, 2.015]"
"['Ti', 132, 'O', 269, 2.23]"
"['Ti', 132, 'O', 272, 2.105]"
"['Ti', 133, 'O', 287, 1.606]"
"['Ti', 133, 'O', 290, 2.547]"
"['Ti', 134, 'O', 479, 1.66]"
"['Ti', 134, 'O', 482, 2.794]"
"['Ti', 135, 'O', 470, 2.22]"
"['Ti', 135, 'O', 473, 1.609]"
"['Ti', 136, 'O', 563, 1.602]"
"['Ti', 137, 'O', 350, 1.604]"
"['Ti', 137, 'O', 353, 2.315]"
"['Ti', 138, 'O', 344, 2.235]"
"['Ti', 138, 'O', 347, 2.11]"
"['Ti', 139, 'O', 533, 2.156]"
"['Ti', 140, 'O', 317, 1.6]"
"['Ti', 140, 'O', 320, 2.595]"
"['Ti', 141, 'O', 290, 1.986]"
"['Ti', 141, 'O', 293, 2.824]"
"['Ti', 142, 'O', 266, 1.604]"
"['Ti', 142, 'O', 269, 2.173]"
"['Ti', 143, 'O', 338, 2.149]"
"['Ti', 144, 'O', 623, 2.142]"
"['Ti', 145, 'O', 326, 1.612]"
"['Ti', 145, 'O', 329, 1.7]"
"['Ti', 146, 'O', 575, 2.224]"
"['Ti', 146, 'O', 578, 2.371]"
"['Ti', 147, 'O', 293, 1.611]"
"['Ti', 148, 'O', 482, 1.601]"
"['Ti', 148, 'O', 485, 2.036]"
"['Ti', 149, 'O', 362, 2.025]"
"['Ti', 149, 'O', 365, 2.864]"
"['Ti', 150, 'O', 377, 1.619]"
"['Ti', 150, 'O', 380, 2.323]"
"['Ti', 151, 'O', 371, 1.601]"
"['Ti', 151, 'O', 374, 2.425]"
"['Ti', 152, 'O', 356, 1.6]"
"['Ti', 152, 'O', 359, 2.92]"
"['Ti', 153, 'O', 278, 1.613]"
"['Ti', 154, 'O', 461, 1.601]"
"['Ti', 154, 'O', 464, 2.552]"
"['Ti', 155, 'O', 542, 1.607]"
"['Ti', 155, 'O', 545, 2.139]"
"['Ti', 156, 'O', 599, 1.608]"
"['Ti', 156, 'O', 602, 2.498]"
"['Ti', 157, 'O', 314, 1.619]"
"['Ti', 157, 'O', 317, 2.831]"
"['Ti', 158, 'O', 359, 1.6]"
"['Ti', 158, 'O', 362, 2.055]"
"['Ti', 159, 'O', 368, 1.603]"
"['Ti', 160, 'O', 275, 2.229]"
"['Ti', 160, 'O', 278, 2.498]"
"['Ti', 161, 'O', 329, 2.233]"
"['Ti', 161, 'O', 332, 2.538]"
"['Ti', 162, 'O', 572, 2.159]"
"['Ti', 162, 'O', 575, 1.988]"
"['Ti', 163, 'O', 404, 2.223]"
"['Ti', 163, 'O', 407, 2.654]"
"['Ti', 164, 'O', 302, 1.608]"
"['Ti', 164, 'O', 305, 2.05]"
"['Ti', 165, 'O', 596, 1.6]"
"['Ti', 165, 'O', 599, 2.408]"
"['Ti', 166, 'O', 263, 2.232]"
"['Ti', 167, 'O', 428, 1.601]"
"['Ti', 168, 'O', 488, 1.605]"
"['Ti', 169, 'O', 311, 1.602]"
"['Ti', 169, 'O', 314, 2.282]"
"['Ti', 170, 'O', 296, 1.613]"
"['Ti', 170, 'O', 299, 1.879]"
"['Ti', 171, 'O', 386, 1.872]"
"['Ti', 171, 'O', 398, 2.235]"
"['Ti', 172, 'O', 380, 2.23]"
"['Ti', 172, 'O', 383, 2.368]"
"['Ti', 173, 'O', 383, 1.606]"
"['Ti', 174, 'O', 281, 1.602]"
"['Ti', 174, 'O', 284, 2.608]"
"['Ti', 175, 'O', 536, 1.622]"
"['Ti', 175, 'O', 539, 2.735]"
