"['Ti', 9, 'Sr', 1, 3.464]"
"['Ti', 9, 'Sr', 2, 3.464]"
"['Ti', 9, 'Sr', 3, 3.464]"
"['Ti', 9, 'Sr', 4, 3.464]"
"['Ti', 9, 'Sr', 5, 3.464]"
"['Ti', 9, 'Sr', 6, 3.464]"
"['Ti', 9, 'Sr', 7, 3.464]"
"['Ti', 9, 'Sr', 8, 3.464]"
"['Ti', 9, 'Ti', 9, 0.0]"
"['Ti', 9, 'Ti', 10, 4.0]"
"['Ti', 9, 'Ti', 11, 4.0]"
"['Ti', 9, 'Ti', 13, 4.0]"
"['Ti', 9, 'O', 17, 2.0]"
"['Ti', 9, 'O', 18, 2.0]"
"['Ti', 9, 'O', 19, 2.0]"
"['Ti', 9, 'O', 20, 2.0]"
"['Ti', 9, 'O', 21, 4.472]"
"['Ti', 9, 'O', 22, 4.472]"
"['Ti', 9, 'O', 23, 4.472]"
"['Ti', 9, 'O', 24, 4.472]"
"['Ti', 9, 'O', 25, 2.0]"
"['Ti', 9, 'O', 26, 4.472]"
"['Ti', 9, 'O', 28, 4.472]"
"['Ti', 9, 'O', 29, 4.472]"
"['Ti', 9, 'O', 30, 2.0]"
"['Ti', 9, 'O', 31, 4.472]"
"['Ti', 9, 'O', 32, 4.472]"
"['Ti', 9, 'O', 33, 4.472]"
"['Ti', 9, 'O', 36, 4.472]"
"['Ti', 9, 'O', 37, 4.472]"
"['Ti', 10, 'Sr', 2, 3.464]"
"['Ti', 10, 'Sr', 4, 3.464]"
"['Ti', 10, 'Sr', 6, 3.464]"
"['Ti', 10, 'Sr', 8, 3.464]"
"['Ti', 10, 'Ti', 9, 4.0]"
"['Ti', 10, 'Ti', 10, 0.0]"
"['Ti', 10, 'Ti', 12, 4.0]"
"['Ti', 10, 'Ti', 14, 4.0]"
"['Ti', 10, 'O', 18, 4.472]"
"['Ti', 10, 'O', 19, 4.472]"
"['Ti', 10, 'O', 20, 2.0]"
"['Ti', 10, 'O', 21, 2.0]"
"['Ti', 10, 'O', 22, 2.0]"
"['Ti', 10, 'O', 25, 4.472]"
"['Ti', 10, 'O', 26, 4.472]"
"['Ti', 10, 'O', 27, 4.472]"
"['Ti', 10, 'O', 28, 2.0]"
"['Ti', 10, 'O', 30, 4.472]"
"['Ti', 10, 'O', 32, 4.472]"
"['Ti', 10, 'O', 33, 2.0]"
"['Ti', 10, 'O', 34, 4.472]"
"['Ti', 10, 'O', 39, 4.472]"
"['Ti', 10, 'O', 40, 4.472]"
"['Ti', 11, 'Sr', 3, 3.464]"
"['Ti', 11, 'Sr', 4, 3.464]"
"['Ti', 11, 'Sr', 7, 3.464]"
"['Ti', 11, 'Sr', 8, 3.464]"
"['Ti', 11, 'Ti', 9, 4.0]"
"['Ti', 11, 'Ti', 11, 0.0]"
"['Ti', 11, 'Ti', 12, 4.0]"
"['Ti', 11, 'Ti', 15, 4.0]"
"['Ti', 11, 'O', 17, 4.472]"
"['Ti', 11, 'O', 18, 4.472]"
"['Ti', 11, 'O', 20, 4.472]"
"['Ti', 11, 'O', 23, 2.0]"
"['Ti', 11, 'O', 24, 2.0]"
"['Ti', 11, 'O', 25, 2.0]"
"['Ti', 11, 'O', 26, 2.0]"
"['Ti', 11, 'O', 27, 4.472]"
"['Ti', 11, 'O', 28, 4.472]"
"['Ti', 11, 'O', 30, 4.472]"
"['Ti', 11, 'O', 35, 4.472]"
"['Ti', 11, 'O', 36, 2.0]"
"['Ti', 11, 'O', 37, 4.472]"
"['Ti', 11, 'O', 38, 4.472]"
"['Ti', 11, 'O', 39, 4.472]"
"['Ti', 12, 'Sr', 4, 3.464]"
"['Ti', 12, 'Sr', 8, 3.464]"
"['Ti', 12, 'Ti', 10, 4.0]"
"['Ti', 12, 'Ti', 11, 4.0]"
"['Ti', 12, 'Ti', 12, 0.0]"
"['Ti', 12, 'Ti', 16, 4.0]"
"['Ti', 12, 'O', 20, 4.472]"
"['Ti', 12, 'O', 21, 4.472]"
"['Ti', 12, 'O', 24, 4.472]"
"['Ti', 12, 'O', 25, 4.472]"
"['Ti', 12, 'O', 26, 2.0]"
"['Ti', 12, 'O', 27, 2.0]"
"['Ti', 12, 'O', 28, 2.0]"
"['Ti', 12, 'O', 33, 4.472]"
"['Ti', 12, 'O', 36, 4.472]"
"['Ti', 12, 'O', 38, 4.472]"
"['Ti', 12, 'O', 39, 2.0]"
"['Ti', 12, 'O', 40, 4.472]"
"['Ti', 13, 'Sr', 5, 3.464]"
"['Ti', 13, 'Sr', 6, 3.464]"
"['Ti', 13, 'Sr', 7, 3.464]"
"['Ti', 13, 'Sr', 8, 3.464]"
"['Ti', 13, 'Ti', 9, 4.0]"
"['Ti', 13, 'Ti', 13, 0.0]"
"['Ti', 13, 'Ti', 14, 4.0]"
"['Ti', 13, 'Ti', 15, 4.0]"
"['Ti', 13, 'O', 17, 4.472]"
"['Ti', 13, 'O', 19, 4.472]"
"['Ti', 13, 'O', 20, 4.472]"
"['Ti', 13, 'O', 25, 4.472]"
"['Ti', 13, 'O', 29, 2.0]"
"['Ti', 13, 'O', 30, 2.0]"
"['Ti', 13, 'O', 31, 2.0]"
"['Ti', 13, 'O', 32, 2.0]"
"['Ti', 13, 'O', 33, 4.472]"
"['Ti', 13, 'O', 34, 4.472]"
"['Ti', 13, 'O', 35, 4.472]"
"['Ti', 13, 'O', 36, 4.472]"
"['Ti', 13, 'O', 37, 2.0]"
"['Ti', 13, 'O', 38, 4.472]"
"['Ti', 13, 'O', 40, 4.472]"
"['Ti', 14, 'Sr', 6, 3.464]"
"['Ti', 14, 'Sr', 8, 3.464]"
"['Ti', 14, 'Ti', 10, 4.0]"
"['Ti', 14, 'Ti', 13, 4.0]"
"['Ti', 14, 'Ti', 14, 0.0]"
"['Ti', 14, 'Ti', 16, 4.0]"
"['Ti', 14, 'O', 20, 4.472]"
"['Ti', 14, 'O', 22, 4.472]"
"['Ti', 14, 'O', 28, 4.472]"
"['Ti', 14, 'O', 30, 4.472]"
"['Ti', 14, 'O', 31, 4.472]"
"['Ti', 14, 'O', 32, 2.0]"
"['Ti', 14, 'O', 33, 2.0]"
"['Ti', 14, 'O', 34, 2.0]"
"['Ti', 14, 'O', 37, 4.472]"
"['Ti', 14, 'O', 38, 4.472]"
"['Ti', 14, 'O', 39, 4.472]"
"['Ti', 14, 'O', 40, 2.0]"
"['Ti', 15, 'Sr', 7, 3.464]"
"['Ti', 15, 'Sr', 8, 3.464]"
"['Ti', 15, 'Ti', 11, 4.0]"
"['Ti', 15, 'Ti', 13, 4.0]"
"['Ti', 15, 'Ti', 15, 0.0]"
"['Ti', 15, 'Ti', 16, 4.0]"
"['Ti', 15, 'O', 23, 4.472]"
"['Ti', 15, 'O', 25, 4.472]"
"['Ti', 15, 'O', 26, 4.472]"
"['Ti', 15, 'O', 29, 4.472]"
"['Ti', 15, 'O', 30, 4.472]"
"['Ti', 15, 'O', 32, 4.472]"
"['Ti', 15, 'O', 35, 2.0]"
"['Ti', 15, 'O', 36, 2.0]"
"['Ti', 15, 'O', 37, 2.0]"
"['Ti', 15, 'O', 38, 2.0]"
"['Ti', 15, 'O', 39, 4.472]"
"['Ti', 15, 'O', 40, 4.472]"
"['Ti', 16, 'Sr', 8, 3.464]"
"['Ti', 16, 'Ti', 12, 4.0]"
"['Ti', 16, 'Ti', 14, 4.0]"
"['Ti', 16, 'Ti', 15, 4.0]"
"['Ti', 16, 'Ti', 16, 0.0]"
"['Ti', 16, 'O', 26, 4.472]"
"['Ti', 16, 'O', 28, 4.472]"
"['Ti', 16, 'O', 32, 4.472]"
"['Ti', 16, 'O', 33, 4.472]"
"['Ti', 16, 'O', 36, 4.472]"
"['Ti', 16, 'O', 37, 4.472]"
"['Ti', 16, 'O', 38, 2.0]"
"['Ti', 16, 'O', 39, 2.0]"
"['Ti', 16, 'O', 40, 2.0]"
