"['atom A', 'A no.', 'B no.', 'Distance (A)']"
"['Sr', 1, 'Ti', 9, 3.464]"
"['Sr', 2, 'Ti', 9, 3.464]"
"['Sr', 2, 'Ti', 10, 3.464]"
"['Sr', 3, 'Ti', 9, 3.464]"
"['Sr', 3, 'Ti', 11, 3.464]"
"['Sr', 4, 'Ti', 9, 3.464]"
"['Sr', 4, 'Ti', 10, 3.464]"
"['Sr', 4, 'Ti', 11, 3.464]"
"['Sr', 4, 'Ti', 12, 3.464]"
"['Sr', 5, 'Ti', 9, 3.464]"
"['Sr', 5, 'Ti', 13, 3.464]"
"['Sr', 6, 'Ti', 9, 3.464]"
"['Sr', 6, 'Ti', 10, 3.464]"
"['Sr', 6, 'Ti', 13, 3.464]"
"['Sr', 6, 'Ti', 14, 3.464]"
"['Sr', 7, 'Ti', 9, 3.464]"
"['Sr', 7, 'Ti', 11, 3.464]"
"['Sr', 7, 'Ti', 13, 3.464]"
"['Sr', 7, 'Ti', 15, 3.464]"
"['Sr', 8, 'Ti', 9, 3.464]"
"['Sr', 8, 'Ti', 10, 3.464]"
"['Sr', 8, 'Ti', 11, 3.464]"
"['Sr', 8, 'Ti', 12, 3.464]"
"['Sr', 8, 'Ti', 13, 3.464]"
"['Sr', 8, 'Ti', 14, 3.464]"
"['Sr', 8, 'Ti', 15, 3.464]"
"['Sr', 8, 'Ti', 16, 3.464]"
