"['atom A', 'A no.', 'B no.', 'Distance (A)']"
"['Sr', 1, 'Ti', 1692, 2.99]"
"['Sr', 2, 'Ti', 1258, 2.952]"
"['Sr', 2, 'Ti', 1637, 3.358]"
"['Sr', 3, 'Ti', 1067, 3.284]"
"['Sr', 3, 'Ti', 1429, 3.078]"
"['Sr', 4, 'Ti', 1001, 3.277]"
"['Sr', 4, 'Ti', 1588, 3.085]"
"['Sr', 5, 'Ti', 1694, 2.957]"
"['Sr', 5, 'Ti', 1695, 3.224]"
"['Sr', 6, 'Ti', 1695, 2.99]"
"['Sr', 6, 'Ti', 1696, 3.371]"
"['Sr', 7, 'Ti', 1696, 3.701]"
"['Sr', 7, 'Ti', 1697, 2.969]"
"['Sr', 8, 'Ti', 1069, 3.477]"
"['Sr', 9, 'Ti', 1313, 3.629]"
"['Sr', 9, 'Ti', 1699, 3.481]"
"['Sr', 10, 'Ti', 1198, 3.424]"
"['Sr', 10, 'Ti', 1642, 3.399]"
"['Sr', 11, 'Ti', 1258, 3.339]"
"['Sr', 11, 'Ti', 1643, 3.176]"
"['Sr', 12, 'Ti', 1258, 3.398]"
"['Sr', 12, 'Ti', 1637, 3.419]"
"['Sr', 12, 'Ti', 1643, 3.311]"
"['Sr', 13, 'Ti', 1096, 3.789]"
"['Sr', 13, 'Ti', 1370, 3.229]"
"['Sr', 13, 'Ti', 1637, 3.283]"
"['Sr', 14, 'Ti', 1096, 3.142]"
"['Sr', 14, 'Ti', 1370, 3.386]"
"['Sr', 14, 'Ti', 1384, 3.303]"
"['Sr', 14, 'Ti', 1638, 3.32]"
"['Sr', 15, 'Ti', 1001, 3.045]"
"['Sr', 15, 'Ti', 1274, 3.235]"
"['Sr', 15, 'Ti', 1323, 3.506]"
"['Sr', 15, 'Ti', 1354, 3.219]"
"['Sr', 16, 'Ti', 1002, 3.294]"
"['Sr', 16, 'Ti', 1243, 3.532]"
"['Sr', 16, 'Ti', 1323, 2.953]"
"['Sr', 16, 'Ti', 1354, 3.097]"
"['Sr', 17, 'Ti', 1002, 3.465]"
